Tournament Name,Tournament ID,Category,Date,Product,Premier Event,League Challenge,Status,Completed Date,Venue Name,Address Line 1,Address Line 2,City,Province/State,Postal/Zip Code,Country/Region,View on Map,Admission,Details,Total Players,With Pokémon Trainer Club accounts,Junior Division,Senior Division,Masters Division,Event Type,Prerelease,Website,Junior Division Admission,Senior Division Admission,Masters Division Admission,League Cup
TCG League Challenge Kodama Noviembre 2024,24-11-005197,TCG: Standard,"November 22, 2024",Trading Card Game,(2025) TCG League Challenge November,Kodama League (November 2024),Complete,"November 22, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,150,,40,40,1,1,38,League Challenge,,http://www.kodamatcg.com,,,,
Torneo CUP CDMX THE TOWER Noviembre 18 2024,24-11-003700,TCG: Standard,"November 18, 2024",Trading Card Game,(2025) TCG League Cup Oct-Dec,,Complete,"November 24, 2024",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,250,"Los esperamos en nuestro torneo CUP, ven a competir contra los mejores entrenadores pokemon y gana grandes premios en su casa THE TOWER TCG STORE",46,42,0,1,45,League Cup,,,,,,Liga The Tower
TCG League Challenge Kodama Diciembre 2024,24-12-008061,TCG: Standard,"December 13, 2024",Trading Card Game,(2025) TCG League Challenge December,Kodama League (December 2024),Complete,"December 13, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,150,,30,28,2,1,27,League Challenge,,http://www.kodamatcg.com,,,,
Torneo Challenge CDMX THE TOWER DICIEMBRE 16 2024,24-12-001891,TCG: Standard,"December 16, 2024",Trading Card Game,(2025) TCG League Challenge December,Liga The Tower (December 2024),Complete,"December 17, 2024",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,200,Vengan a Nuestro challenge y compite contra los mejores entrenadores pokemon,31,31,1,1,29,League Challenge,,,,,,
The Nest - LEAGUE CHALLENGE TCG - Noviembre,24-11-012952,TCG: Standard,"November 28, 2024",Trading Card Game,(2025) TCG League Challenge November,The Nest (November 2024),Complete,"December 17, 2024",THE NEST GAMES,39 BALDERAS,,MÉXICO D.F.,CDMX,06000,Mexico,Map,250,,13,12,0,0,13,League Challenge,,https://www.facebook.com/thenestgames,,,,
LIGA POKEMON GAMESMART LEAGUE CHALLENGE DICIEMBRE 2024,24-12-000334,TCG: Standard,"December 18, 2024",Trading Card Game,(2025) TCG League Challenge December,Gamesmart (December 2024),Complete,"December 19, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,200,,32,31,2,1,29,League Challenge,,http://www.gamesmart.mx/,,,,
LIGA POKEMON GAMESMART LEAGUE CHALLENGE ENERO 2025,25-01-006650,TCG: Standard,"January 29, 2025",Trading Card Game,(2025) TCG League Challenge January,Gamesmart (January 2025),Complete,"January 30, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,200,,32,32,0,0,32,League Challenge,,http://www.gamesmart.mx/,,,,
LIGA POKEMON GAMESMART LEAGUE CUP 1 2025,25-02-002549,TCG: Standard,"February 01, 2025",Trading Card Game,(2025) TCG League Cup Jan-Mar,,Complete,"February 04, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,300,,28,26,1,1,26,League Cup,,http://www.gamesmart.mx/,,,,Gamesmart
LIGA POKEMON GAMESMART LEAGUE CUP 1 2025,25-02-002549,TCG: Standard,"February 01, 2025",Trading Card Game,(2025) TCG League Cup Jan-Mar,,Complete,"February 04, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,300,,28,26,1,1,26,League Cup,,http://www.gamesmart.mx/,,,,Gamesmart
Mérida Regional Championships | TCG Masters,24-09-008396,TCG: Standard,"February 08, 2025",Trading Card Game,(2025) 2025 TCG Regional Championships,,Complete,"February 10, 2025",CENTRO DE CONVENCIONES YUCATÁN SIGLO XXI,,,,YUC.,97118,Mexico,Map,,"Pokémon Trainer! We invite you to join us at the Pokémon Trading Card Game Regional Championships in Mérida, Yucatán, Mexico. This is the perfect place to test your skills, meet other passionate players, and enjoy a unique experience. We would love to see you there and share this exciting Pokémon adventure with you!",1151,1136,0,0,1151,Regional Championships,,,,,,
