Tournament Name,Tournament ID,Category,Date,Product,Premier Event,League Challenge,Status,Completed Date,Venue Name,Address Line 1,Address Line 2,City,Province/State,Postal/Zip Code,Country/Region,View on Map,Website,Admission,Details,Total Players,With Pokémon Trainer Club accounts,Junior Division,Senior Division,Masters Division,Event Type,Prerelease,League Cup,Junior Division Admission,Senior Division Admission,Masters Division Admission
"Kodama - Pokemon - Febrero 21, 2025",25-02-006817,TCG: Standard,"February 21, 2025",Trading Card Game,None,,Complete,"February 21, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,62,61,0,0,62,League,,,,,
TCG League Challenge ZombieLamb Octubre 2024,24-10-002163,TCG: Standard,"October 09, 2024",Trading Card Game,(2025) TCG League Challenge October,ZombieLamb League (October 2024),Complete,"October 19, 2024",ZOMBIELAMB,,,,CDMX,06600,Mexico,Map,https://www.facebook.com/zombielambgaming,200,,39,37,1,1,37,League Challenge,,,,,
Zuperior League 20 Mayo 2025,25-05-015629,TCG: Standard,"May 20, 2025",Trading Card Game,None,,Complete,"May 23, 2025",ZUPERIOR GAMES,,,,CDMX,03620,Mexico,Map,,100,,12,12,0,0,12,League,,,,,
"Kodama - Pokemon - Marzo 28, 2025",25-03-015443,TCG: Standard,"March 28, 2025",Trading Card Game,None,,Complete,"March 29, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,62,59,5,2,55,League,,,,,
LIGA POKEMON GAMESMART LEAGUE CHALLENGE ENERO 2025,25-01-006650,TCG: Standard,"January 29, 2025",Trading Card Game,(2025) TCG League Challenge January,Gamesmart (January 2025),Complete,"January 30, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,200,,32,32,0,0,32,League Challenge,,,,,
"Kodama - Pokemon - Septiembre 13, 2024",24-09-012953,TCG: Standard,"September 13, 2024",Trading Card Game,None,,Complete,"September 14, 2024",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,,,46,44,2,1,43,League,,,,,
Torneo Challenge CDMX THE TOWER DICIEMBRE 16 2024,24-12-001891,TCG: Standard,"December 16, 2024",Trading Card Game,(2025) TCG League Challenge December,Liga The Tower (December 2024),Complete,"December 17, 2024",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,,200,Vengan a Nuestro challenge y compite contra los mejores entrenadores pokemon,31,31,1,1,29,League Challenge,,,,,
TCG League Challenge ZombieLamb Septiembre 2024,24-09-008133,TCG: Standard,"September 18, 2024",Trading Card Game,(2025) TCG League Challenge September,ZombieLamb League (September 2024),Complete,"September 19, 2024",ZOMBIELAMB,,,,CDMX,06600,Mexico,Map,https://www.facebook.com/coregametcgstore/,200,,36,36,1,0,35,League Challenge,,,,,
LIGA POKEMON GAMESMART LEAGUE CUP 2 2025,25-04-001317,TCG: Standard,"April 12, 2025",Trading Card Game,(2025) TCG League Cup April-May,,Complete,"April 12, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,300,,30,29,2,0,28,League Cup,,Gamesmart,,,
The Nest - Liga Pokémon - Jueves 26 De Diciembre 2024,24-12-010214,TCG: Standard,"December 26, 2024",Trading Card Game,None,,Complete,"December 26, 2024",THE NEST GAMES,39 BALDERAS,,MÉXICO D.F.,CDMX,06000,Mexico,Map,https://www.facebook.com/thenestgames,150,,20,19,0,1,19,League,,,,,
LIGA POKEMON GAMESMART LEAGUE CUP 1 2025,25-02-002549,TCG: Standard,"February 01, 2025",Trading Card Game,(2025) TCG League Cup Jan-Mar,,Complete,"February 04, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,300,,28,26,1,1,26,League Cup,,Gamesmart,,,
LIGA POKEMON GAMESMART 20 NOVIEMBRE 2024,24-11-012722,TCG: Standard,"November 20, 2024",Trading Card Game,None,,Complete,"November 21, 2024",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,100,,16,16,0,0,16,League,,,,,
"Kodama - Pokemon - Febrero 28, 2025",25-02-006818,TCG: Standard,"February 28, 2025",Trading Card Game,None,,Complete,"February 28, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,100,,31,28,2,2,27,League,,,,,
Zuperior Games League Challenge Mayo 25,25-05-015626,TCG: Standard,"May 27, 2025",Trading Card Game,(2025) TCG League Challenge May,Zuperior League (May 2025),Complete,"May 28, 2025",ZUPERIOR GAMES,,,,CDMX,03620,Mexico,Map,,150,"Hora de Registro 6:00 pm Inicio de primera ronda: 7:15 pm Costo de entrada: 150 MXN Detalles del torneo: Pareo: Suizo Duración de Ronda: 30 minutos Requisitos: -Play! ID -Formato oficial de decklist con llenado impreso o digital. -Mazo de 60 cartas formato estándar -Micas en buen estado de preferencia color mate. Premiación: 100% del acumulado en entradas a repartir en producto de la tienda a discreción del staff para los jugadores con mejor desempeño del torneo, los premios dependerán de la asistencia. Se repartirán sobres de liga series 6 a los participantes en medida de lo posible. Los jugadores del TOP 6 tendrán asegurado su paquete de premio. El anuncio final se hará el día del evento. Cualquier duda, comunicarse con el organizador via Whatsapp en el telefono de contacto",27,27,1,0,26,League Challenge,,,,,
Evolution Coapa League Challenge TCG Septiembre 2024,24-09-011018,TCG: Standard,"September 21, 2024",Trading Card Game,(2025) TCG League Challenge September,Liga Evolution Coapa (September 2024),Complete,"September 21, 2024",EVOLUTION COAPA,921 CALZ. DEL HUESO,,MÉXICO D.F.,CDMX,14330,Mexico,Map,,$200,Te invitamos a participar en el League Challenge del mes de Septiembre. El registro comenzara a las 1:00 pm y terminara a las 2:15 pm (NO SE ACEPTAN REGISTROS DESPUÉS DE LA HORA INDICADA DE CIERRE ) Es necesario presentar registro de mazo o Deck list ( en tienda se te otorgara una hoja para llenar) El costo de entrada sera de $199. Mas detalles en nuestras redes sociales,8,8,0,0,8,League Challenge,,,,,
"Kodama - Pokemon - Mayo 02, 2025",25-05-012507,TCG: Standard,"May 02, 2025",Trading Card Game,None,,Complete,"May 03, 2025",KODAMA,1161 EUGENIA,,MÉXICO D.F.,CDMX,03020,Mexico,Map,http://www.kodamatcg.com,,,69,66,2,1,66,League,,,,,
LIGA POKEMON GAMESMART 02 ABRIL 2025,25-04-004398,TCG: Standard,"April 02, 2025",Trading Card Game,None,,Complete,"April 02, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,100,,30,30,0,0,30,League,,,,,
LIGA POKEMON GAMESMART 22 ENERO 2025,25-01-010765,TCG: Standard,"January 22, 2025",Trading Card Game,None,,Complete,"January 22, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,100,,26,26,0,0,26,League,,,,,
Zuperior League 13 Mayo 2025,25-05-015627,TCG: Standard,"May 13, 2025",Trading Card Game,None,,Complete,"May 23, 2025",ZUPERIOR GAMES,,,,CDMX,03620,Mexico,Map,,100,,34,33,0,0,34,League,,,,,
LIGA POKEMON GAMESMART LEAGUE CHALLENGE ABRIL 2025,25-04-001315,TCG: Standard,"April 30, 2025",Trading Card Game,(2025) TCG League Challenge April,Gamesmart (April 2025),Complete,"May 02, 2025",GAMEMSART,1391 AV. INSURGENTES SUR,,MÉXICO D.F.,CDMX,03920,Mexico,Map,http://www.gamesmart.mx/,200,,31,31,0,0,31,League Challenge,,,,,
Torneo de liga CDMX THE TOWER 19-04-25,25-04-012597,TCG: Standard,"April 19, 2025",Trading Card Game,None,,Complete,"April 20, 2025",THE TOWER TCG,1263 CALZ. DE TLALPAN,,MÉXICO D.F.,CDMX,03660,Mexico,Map,,100,,8,7,0,0,8,League,,,,,
